genotypes	gclass	Lines	Tester	replication	trait1
1x6	C	1	6	1	74.4
1x7	C	1	7	1	91.82
1X8	C	1	8	1	48.08
2x6	C	2	6	1	59.06
2x7	C	2	7	1	84.16
2X8	C	2	8	1	96.92
3x6	C	3	6	1	109.86
3X7	C	3	7	1	117.2
3x8	C	3	8	1	109.68
4x6	C	4	6	1	103.14
4x7	C	4	7	1	53.4
4x8	C	4	8	1	53.86
5x6	C	5	6	1	98.46
5x7	C	5	7	1	81.36
5x8	C	5	8	1	86.62
1	P	NA	NA	1	104.86
2	P	NA	NA	1	88.02
3	P	NA	NA	1	77.94
4	P	NA	NA	1	80.82
5	P	NA	NA	1	59.96
6	P	NA	NA	1	96.44
7	P	NA	NA	1	91.44
8	P	NA	NA	1	91.78
1x6	C	1	6	2	70.86
1x7	C	1	7	2	99.18
1X8	C	1	8	2	62.1
2x6	C	2	6	2	65.62
2x7	C	2	7	2	109.74
2X8	C	2	8	2	91.44
3x6	C	3	6	2	98.16
3X7	C	3	7	2	100.28
3x8	C	3	8	2	116.48
4x6	C	4	6	2	109.66
4x7	C	4	7	2	60.86
4x8	C	4	8	2	48.3
5x6	C	5	6	2	73.1
5x7	C	5	7	2	72.82
5x8	C	5	8	2	94.18
1	P	NA	NA	2	84.12
2	P	NA	NA	2	106.54
3	P	NA	NA	2	71.34
4	P	NA	NA	2	106.52
5	P	NA	NA	2	52.48
6	P	NA	NA	2	98.82
7	P	NA	NA	2	99.66
8	P	NA	NA	2	84.82
1x6	C	1	6	3	60.94
1x7	C	1	7	3	118.88
1X8	C	1	8	3	58.54
2x6	C	2	6	3	81.62
2x7	C	2	7	3	102.14
2X8	C	2	8	3	79.86
3x6	C	3	6	3	93.26
3X7	C	3	7	3	116.16
3x8	C	3	8	3	123.92
4x6	C	4	6	3	90.98
4x7	C	4	7	1	74.96
4x8	C	4	8	3	40.64
5x6	C	5	6	3	89.18
5x7	C	5	7	3	89.82
5x8	C	5	8	3	90.32
1	P	NA	NA	3	76.92
2	P	NA	NA	3	89.82
3	P	NA	NA	3	77.52
4	P	NA	NA	3	83.28
5	P	NA	NA	3	52.98
6	P	NA	NA	3	99.14
7	P	NA	NA	3	83.28
8	P	NA	NA	3	69.92
1x6	C	1	6	4	68
1x7	C	1	7	4	120.68
1X8	C	1	8	4	41.84
2x6	C	2	6	4	86.76
2x7	C	2	7	4	94.52
2X8	C	2	8	4	74.38
3x6	C	3	6	4	102.26
3X7	C	3	7	4	112.52
3x8	C	3	8	4	120.86
4x6	C	4	6	4	119.4
4x7	C	4	7	4	69.08
4x8	C	4	8	4	44.62
5x6	C	5	6	4	75.86
5x7	C	5	7	4	83.74
5x8	C	5	8	4	108.16
1	P	NA	NA	4	76.48
2	P	NA	NA	4	108.68
3	P	NA	NA	4	69.48
4	P	NA	NA	4	95.92
5	P	NA	NA	4	50.98
6	P	NA	NA	4	107.16
7	P	NA	NA	4	89.46
8	P	NA	NA	4	81.48
