set	male	female	rep	yield
1	1	1	1	831.03
1	1	1	2	982.61
1	1	1	3	679.31
1	1	2	1	625.93
1	1	2	2	462.07
1	1	2	3	644.44
1	1	3	1	563.64
1	1	3	2	847.62
1	1	3	3	680.95
1	1	4	1	644.44
1	1	4	2	550
1	1	4	3	560.71
1	1	5	1	830.77
1	1	5	2	503.45
1	1	5	3	479.17
1	2	1	1	1046.55
1	2	1	2	800
1	2	1	3	995
1	2	2	1	856.67
1	2	2	2	931.03
1	2	2	3	975.81
1	2	3	1	1172.41
1	2	3	2	1016.67
1	2	3	3	1048.15
1	2	4	1	963.33
1	2	4	2	975.86
1	2	4	3	896.55
1	2	5	1	821.43
1	2	5	2	819.23
1	2	5	3	893.55
1	3	1	1	853.33
1	3	1	2	644.83
1	3	1	3	551.85
1	3	2	1	1130.36
1	3	2	2	788.89
1	3	2	3	745.83
1	3	3	1	585
1	3	3	2	656.67
1	3	3	3	890.32
1	3	4	1	834.48
1	3	4	2	936.67
1	3	4	3	675.86
1	3	5	1	725.81
1	3	5	2	913.33
1	3	5	3	820.69
1	4	1	1	940
1	4	1	2	751.85
1	4	1	3	853.57
1	4	2	1	1244.44
1	4	2	2	580
1	4	2	3	804.55
1	4	3	1	922.22
1	4	3	2	825.93
1	4	3	3	695.65
1	4	4	1	630
1	4	4	2	962.07
1	4	4	3	610.71
1	4	5	1	688
1	4	5	2	539.13
1	4	5	3	690
1	5	1	1	802
1	5	1	2	1070
1	5	1	3	582.76
1	5	2	1	872.41
1	5	2	2	596.43
1	5	2	3	856
1	5	3	1	935.71
1	5	3	2	907.14
1	5	3	3	620
1	5	4	1	885.71
1	5	4	2	1026.67
1	5	4	3	843.33
1	5	5	1	632
1	5	5	2	425.93
1	5	5	3	551.85
2	6	6	1	566.67
2	6	6	2	566.67
2	6	6	3	755.56
2	6	7	1	441.67
2	6	7	2	760
2	6	7	3	531.82
2	6	8	1	785.71
2	6	8	2	900
2	6	8	3	870.97
2	6	9	1	470.83
2	6	9	2	819.05
2	6	9	3	565.22
2	6	10	1	604.17
2	6	10	2	522.73
2	6	10	3	382.35
2	7	6	1	573.33
2	7	6	2	703.33
2	7	6	3	560
2	7	7	1	729.17
2	7	7	2	777.27
2	7	7	3	600
2	7	8	1	615
2	7	8	2	813.79
2	7	8	3	731.03
2	7	9	1	682.14
2	7	9	2	453.57
2	7	9	3	486.36
2	7	10	1	603.33
2	7	10	2	603.45
2	7	10	3	468.18
2	8	6	1	506.52
2	8	6	2	525
2	8	6	3	719.05
2	8	7	1	709.68
2	8	7	2	603.45
2	8	7	3	845
2	8	8	1	806.9
2	8	8	2	683.93
2	8	8	3	982.76
2	8	9	1	662.5
2	8	9	2	964.71
2	8	9	3	838.1
2	8	10	1	583.33
2	8	10	2	778.57
2	8	10	3	603.85
2	9	6	1	493.75
2	9	6	2	513.33
2	9	6	3	680
2	9	7	1	351.85
2	9	7	2	558.62
2	9	7	3	584.62
2	9	8	1	975.86
2	9	8	2	679.31
2	9	8	3	717.39
2	9	9	1	714.81
2	9	9	2	468
2	9	9	3	829.63
2	9	10	1	716.67
2	9	10	2	715
2	9	10	3	904.55
2	10	6	1	478.75
2	10	6	2	476.09
2	10	6	3	492.86
2	10	7	1	406.67
2	10	7	2	366.67
2	10	7	3	691.3
2	10	8	1	726.09
2	10	8	2	528
2	10	8	3	608.7
2	10	9	1	600
2	10	9	2	612
2	10	9	3	615.79
2	10	10	1	513.33
2	10	10	2	776.79
2	10	10	3	368
1	5	2	1	277.78
1	1	3	1	338.1
1	1	1	1	221.43
1	4	1	1	317.86
1	3	2	1	381.82
1	3	4	1	548.39
1	2	2	1	507.14
1	4	5	1	385.71
1	2	5	1	606.67
1	5	4	1	533.33
1	2	1	1	617.86
1	1	4	1	363.33
1	3	5	1	585.94
1	2	4	1	630
1	1	2	1	228.85
1	4	4	1	522.41
1	2	3	1	553.33
1	4	3	1	538.64
1	3	1	1	584.62
1	3	3	1	396.43
1	4	2	1	515.79
1	5	5	1	507.41
1	1	5	1	482.14
1	5	1	1	410.71
1	5	3	1	490.74
1	3	5	2	300
1	5	5	2	300
1	3	4	2	394.83
1	4	5	2	394.74
1	1	3	2	338.1
1	5	4	2	580
1	2	5	2	358
1	2	1	2	513.33
1	5	1	2	456.67
1	3	2	2	531.82
1	2	4	2	720.69
1	3	3	2	536.67
1	1	5	2	418.52
1	4	3	2	526.09
1	1	1	2	340
1	4	2	2	454.35
1	5	3	2	451.85
1	2	3	2	537.93
1	4	4	2	637.93
1	1	4	2	567.86
1	1	2	2	410.34
1	5	2	2	437.04
1	2	2	2	524.14
1	4	1	2	337.93
1	3	1	2	418.52
1	3	3	3	336.67
1	5	3	3	272.73
1	2	5	3	378.57
1	3	4	3	413.33
1	4	1	3	289.66
1	1	3	3	347.37
1	3	5	3	485.94
1	1	1	3	520.69
1	2	1	3	511.54
1	5	1	3	438.71
1	5	2	3	457.14
1	2	3	3	451.72
1	1	2	3	306.9
1	2	4	3	493.1
1	2	2	3	482.69
1	4	2	3	318.18
1	3	2	3	426.09
1	1	4	3	260.71
1	1	5	3	418.52
1	4	3	3	397.73
1	4	5	3	362.5
1	5	5	3	315
1	3	1	3	264.81
1	5	4	3	300
1	4	4	3	436.67
2	8	8	1	603.57
2	8	9	1	530.43
2	10	6	1	600
2	9	9	1	388
2	10	8	1	534.78
2	9	8	1	546.67
2	6	8	1	560
2	7	7	1	595.45
2	6	6	1	470.69
2	6	7	1	381.82
2	10	7	1	465.52
2	8	6	1	490
2	7	8	1	593.55
2	8	7	1	482.61
2	9	6	1	393.75
2	7	9	1	484
2	6	9	1	300
2	6	10	1	346
2	10	10	1	325
2	9	7	1	400
2	9	10	1	385
2	8	10	1	490.63
2	7	10	1	407.69
2	7	6	1	430
2	10	9	1	320
2	7	7	2	307.14
2	10	9	2	434.78
2	8	8	2	613.33
2	6	7	2	354.55
2	6	10	2	362.5
2	7	8	2	541.94
2	10	6	2	452.17
2	6	9	2	300
2	8	6	2	441.3
2	7	10	2	366.67
2	9	9	2	478
2	9	10	2	522.22
2	9	6	2	542.86
2	8	9	2	495.45
2	7	9	2	495.16
2	10	10	2	420
2	8	7	2	507.14
2	6	6	2	496.67
2	9	8	2	417.24
2	7	6	2	493.48
2	6	8	2	541.94
2	10	8	2	485.42
2	8	10	2	611.67
2	9	7	2	486.54
2	10	7	2	408.62
2	9	6	3	373.33
2	8	7	3	310.71
2	7	9	3	450
2	10	8	3	465
2	8	10	3	420
2	6	7	3	234.09
2	6	10	3	323.53
2	6	6	3	392.59
2	10	9	3	326.09
2	7	6	3	439.29
2	10	10	3	296
2	7	7	3	294.74
2	7	10	3	370.83
2	6	9	3	310.42
2	9	8	3	417.24
2	9	9	3	310.71
2	9	10	3	364.29
2	8	9	3	319.05
2	10	6	3	390.48
2	8	8	3	446.55
2	9	7	3	266.67
2	10	7	3	356.52
2	8	6	3	447.37
2	6	8	3	367.24
2	7	8	3	500
