Cross1	Cross2	Rep	Yield
1	1	1	99.69
1	2	1	127.8
1	3	1	226.3
1	4	1	229.1
1	5	1	100.5
1	6	1	167.3
1	7	1	154.4
2	1	1	149.7
2	2	1	133.5
2	3	1	136.25
2	4	1	117.2
2	5	1	157.4
2	6	1	207.7
2	6	1	175.1
2	7	1	178.6
3	1	1	145.15
3	2	1	221
3	3	1	52.6
3	4	1	216.5
3	5	1	186.1
3	6	1	263.6
3	7	1	188.1
4	1	1	226.5
4	2	1	235.62
4	3	1	217.7
4	4	1	79.58
4	5	1	140.39
4	6	1	196.56
4	7	1	105.8
5	1	1	200.6
5	2	1	156.62
5	3	1	178.56
5	4	1	148.68
5	5	1	81.8
5	6	1	253
5	7	1	167.8
6	1	1	195.2
6	2	1	187.8
6	3	1	200.59
6	4	1	201.9
6	5	1	122.09
6	6	1	61.41
6	7	1	164
7	1	1	198.2
7	2	1	128.2
7	3	1	213.2
7	4	1	101.6
7	5	1	84.8
7	6	1	158.2
7	7	1	101.15
1	1	2	130.04
1	2	2	128.1
1	3	2	227.4
1	4	2	157.3
1	5	2	107.9
1	6	2	157.9
1	7	2	137.7
2	1	2	207.2
2	2	2	70.4
2	3	2	113.6
2	4	2	216.2
2	5	2	152.52
2	6	2	142.5
2	7	2	79.5
3	1	2	200.5
3	2	2	121.6
3	3	2	65.4
3	4	2	183.32
3	5	2	162.39
3	6	2	202.5
3	7	2	194.8
4	1	2	141.1
4	2	2	224.4
4	3	2	165.8
4	4	2	186.5
4	5	2	158.84
4	6	2	175.93
4	7	2	190.1
5	1	2	185.9
5	2	2	160.44
5	3	2	182.91
5	4	2	141.6
5	5	2	72.2
5	6	2	230
5	7	2	144.9
6	1	2	217.7
6	2	2	156.75
6	3	2	205.49
6	4	2	254.9
6	5	2	124.99
6	6	2	65.01
6	7	2	42.3
7	1	2	153.7
7	2	2	198.8
7	3	2	223.86
7	4	2	120.2
7	5	2	138.1
7	6	2	191.7
7	7	2	131.57
1	1	3	160.4
1	2	3	124.1
1	3	3	224.9
1	4	3	261.5
1	5	3	115.3
1	6	3	152.5
1	7	3	176.4
2	1	3	178.45
2	2	3	101.95
2	3	3	158.9
2	4	3	199.95
2	5	3	206.3
2	7	3	110.8
3	1	3	89.8
3	2	3	186.3
3	3	3	53.9
3	4	3	199.91
3	5	3	174.24
3	6	3	141.4
3	7	3	181.4
4	1	3	188.29
4	2	3	230.01
4	3	3	193.3
4	4	3	133.04
4	5	3	177.3
4	6	3	155.3
4	7	3	147.6
5	1	3	192.2
5	2	3	152.8
5	3	3	174.2
5	4	3	145.14
5	5	3	73.7
5	6	3	241.5
5	7	3	190.7
6	1	3	152.3
6	2	3	125.7
6	3	3	195.7
6	4	3	192.98
6	5	3	127.9
6	6	3	68.6
6	7	3	144.6
7	1	3	109.2
7	2	3	194
7	3	3	218.53
7	4	3	138.8
7	5	3	104
7	6	3	174.95
7	7	3	162
